id,area_name,quest
g1_1,강둑,불어터진 방어꾼 처치
g1_town,클리어펠 야영지,렌리 대화하고 클리어펠로 이동
g1_2,클리어펠,룬 석 찾기 → 썩은 무리 베이라 처치 (냉기 저항 10%) → 그렐우드
g1_4,그렐우드, 거점과 으스스한 덩굴 체크포인트 찾기 → 붉은 계곡
g1_5,붉은 계곡,오벨리스크 3개 찾고 녹왕 처치 → 마을
g1_town,클리어펠 야영지,렌리 대화 후 그렐우드로 이동
g1_4,그렐우드,거대한 나무의 봉인 3개 해제 → 마을
g1_town,클리어펠 야영지,우나와 대화 후 으스스한 덩굴로 이동
g1_6,으스스한 덩굴,영원한 자의 공동묘지 입구 찾기
g1_7,영원한 자의 공동묘지, 아니시아(배우자)와 드레이븐(집정관) 처치 → 라클란 대화 후 처치 → 사냥터
g1_11,사냥터,까마귀 종 처치 → 프레이쏜
g1_12,프레이쏜,연무 속의 왕 처치 (정신력 30) → 마을
g1_town,클리어펠 야영지, 핀 / 우나 대화 후 보상받기 → 사냥터
g1_11,사냥터,오검 농지로 이동
g1_13_1,오검 농지,우나의 류트 찾기 → 오검 마을
g1_13_2,오검 마을,거점 활성화 → 사형 집행자 처치 → 레이티스 클릭 → 마을
g1_town,클리어펠 야영지,우나 / 렌리 보상 받기 (추천-플랫 대미지 룬) → 저택 성벽
g1_14,저택 성벽,오검 저택으로 이동
g1_15,오검 저택,1층 양초 덩어리 처치 → 3층 지오너 백작 처치 즉시 마을로 이동
g1_town,클리어펠 야영지,NPC와 두건쓴 자 대화 후 액트 2 이동

g2_1,바스티리 외곽,토성파괴자 처치 → 아르듀라 카라반 탑승
g2_town,아르듀라 카라반,두건 쓴 자 / 아살라 대화 → 사막 지도 클릭해서 모둔 채석장 이동
g2_10_1,모둔 채석장,체크포인트 찾아서 모둔 광산 입장
g2_10_2,모둔 광산,룻자 처치 후 리수 구출 → 마을
g2_town,아르듀라 카라반,리수 대화 | 사막 지도를 클릭 → 배반자의 통로
g2_2,배반자의 통로, 발바라 처치 → 할라니 관문으로 이동
g2_3,할라니 관문,아살라 소환 / 자만라 처치 후 계단 내려가서 퀘스트 완료 후 귀환
g2_town,아르듀라 카라반,자르카 대화 / 아살라 대화 → 케스
g2_4_1,케스,카발라 처치 후 잃어버린 도시로 이동
g2_4_2,잃어버린 도시,묻힌 성소 찾기
g2_4_3,묻힌 성소,케스의 심장부 찾기 → 아자리안 처치 → 물의 여신 대화하고 물의 정수 획득 → 마을
g2_town,아르듀라 카라반,자르카 대화 → 마스토돈 불모지
g2_5_1,마스토돈 불모지, 뼈 구덩이 찾기 (무광의 통로 찾으면 거점 활성화해두기)
g2_5_2,뼈 구덩이,에크밥 / 이크탑 처치 → 마을
g2_town,아르듀라 카라반,자르카 대화 → 거신의 계곡
g2_6,거신의 계곡,3개 고대 봉인 해제 → 거신 석굴
g2_7,거신 석굴,거상 잘마라트 처치 → 마을
g2_town,아르듀라 카라반,자르카 / 아살라 대화 → 사막 지도로 배반자의 통로 이동 → 뿔피리 불기 → 아살라 대화 → 데샤르
g2_8,데샤르,쓰러진 데카라 찾고 마지막 편지 획득 → 통곡의 길 입장
g2_9_1,통곡의 길,데샤르의 첨탑 입장
g2_9_2,데샤르의 첨탑,토르 굴 처치 → 마을
g2_town,아르듀라 카라반,샴브린에게 마지막 편지 보상 받기 → 아살라 대화 후 사막 지도 클릭 → 드레드노트
g2_12,드레드노트,자만라 처치 → 마을
g2_town,아르듀라 카라반,카라반 내려서 왼쪽에 있는 두건 쓴 자 대화 → 아살라 대화 → 모래에 휩쓸린 습지

g3_1,모래에 휩쓸린 습지,지구라트 야영지 찾기 (주로 1시 방향으로 이동)
g3_town,지구라트 야영지,밀림 유적으로 이동
g3_3,밀림 유적,거점 찾고 알바와 대화 → 독액 지하실 찾기
g3_4,독액 지하실,시체뱀 독액 찾기 → 마을
g3_town,지구라트 야영지,세르비 대화 → 보상 선택(변경 불가/추천-기절 면역) → 밀림 유적
g3_3,밀림 유적,들끓는 볼모지 찾기

g3_2_1,들끓는 불모지, 키메랄 습지대로 이동
g3_5,키메랄 습지대,자이클루시언 처치 (주로 11시) → 지콰니의 기계실 입장 
g3_6_1,지콰니의 기계실,영혼 핵 찾기 → 돌 제단 활성화 → 지콰니의 지성소
g3_6_2,지콰니의 지성소,영혼 핵 찾기 → 발전기 2곳 활성화 후 지코아틀 처치 → 밀림 유적
g3_3,밀림 유적,거점 옆 제단에 영혼 핵 넣고 마틀란 수로로 이동
g3_2_2,마틀란 수로,아자크 습지대로 이동
g3_7,아자크 습지대,거점에서 세르비 소환 / 이그나그두크 (정신력+30) 처치 → 마틀란 수로

g3_2_2,마틀란 수로,수로 끝까지 빠르게 이동하고 레버 당긴 후 마을로 귀환
g3_town,지구라트 야영지,6시 방향으로 내려가서 알바와 대화 후 물에 잠긴 도시로 이동
g3_8,물에 잠긴 도시,오물의 정점으로 이동
g3_11,오물의 장점,오물의 여왕 처치 → 마을
g3_town,지구라트 야영지,코펙의 사원 입장
g3_12,코펙의 사원,케출리 처치 → 알바와 대화하고 단상 조사 클릭
g3_town,지구라트 야영지,관문으로 이동 후 오른쪽 아래 계단으로 내려가서 웃자알 입장
g3_14,웃자알, 바이퍼 나푸앗지 처치 → 아고라트
g3_16,아고라트,희생의 제단 (패시브 2) 획득 후 검은 내실로 이동
g3_17,검은 내실,도리아니 처치 → 마을
g3_town,지구라트 야영지,도리아니 대화하고 컷신 진행. 알바와 대화해서 킹스마치로 이동

g4_town,킹스마치,알바와 대화하고 용선 증서 획득. 배 탑승 → 마코루 대화 후 → (항해) 닻의 만 이동
g4_2_1,닻의 만,여정의 끝 찾아서 이동
g4_2_2,여정의 끝,거점 주변에서 투젠과 대화 / 하틀린 선장 처치 후 킹스마치로 복귀
g4_town,킹스마치,대닉 대화하고 여정의 끝 (닻의 만)으로 돌아가기
g4_2_2,여정의 끝,프레야 대화하고 옴니포비아 처치 (스킬포인트 2개) 후 마을에서 투젠 대화(스킬 포인트 2)하고 와카파누 섬으로 이동
g4_3_1,와카파누 섬,노래하는 암굴 찾기 (서브퀘 있지만 생략 가능)
g4_3_2,노래하는 암굴,디아모라 처치하고 마티키 대화 후 배로 이동 → 버려진 감옥 (항해)
g4_5_1,버려진 감옥,예배당 열쇠 획득하고 여신 버프 설정 하기 / 독방 감금실로 이동
g4_5_2,독방 감금실,포로 처치 후 배로 이동해서 혈족의 섬(항해) 이동
g4_1_1,혈족의 섬,화산 땅굴로 이동
g4_1_2,화산 땅굴,크루톡 처치 후 두건 쓴 자 대화하고 때까치 섬으로 이동
g4_7,때까치 섬,하늘의 재앙 처치 후 두건 쓴 자 대화 → 배로 돌아가 마코루 대화 → 히네코라의 눈 (항해) 이동
g4_4_1,히네코라의 눈,마티키 대화하고 통과의 우물 클릭하고 3개의 시험 완료 후 죽음의 전당 입장
g4_4_2,죽음의 전당,3개의 시험 완료 (추천-스탯)| 하얀 야마 처치 후 선조들의 심판으로 이동
g4_4_3,선조들의 심판,나발리와 대화하고 히네코라의 문신 받기 → 배로 돌아가 마코루와 대화 → 아라스타스 (항해)
g4_8b,아라스타스,이벤트 후 반시계 반향 크게 돌아서 토르비안 처치 후 발굴터로 이동
g4_10,발굴터,베네딕투스 처치 (11~12시 방향) → 두건 쓴 자 대화 → 마을
g4_town,킹스마치,배의 로드리 대화하고 응가카누로 이동
g4_11_1b,응가카누,1시 방향 벽따라서 이동해서부족의 심장부 입장
g4_11_2,부족의 심장부,타바카이 처치하고 타바카이 대화 후 마을로 귀환
g4_town,킹스마치,6시 방향 카이마나에게 상어 지느러미 전달 → 두건 쓴 자 대화하고 크리아산 풀숲으로 이동

p3_town,풀숲,도리아니와 힐다 대화하고 잿빛 수림으로 이동
p3_1,잿빛 수림,크리아 마을로 이동 (보통 11시 방향 | 반시계방향으로 이동)
p3_2,크리아 마을,거점 찾고 라이타라 처치(정신력 보상) 후 빙하 호수로 이동
p3_3,빙하 호수,오른쪽 벽 따라가면서 이동해서 울부짖는 동굴 입장
p3_4,울부짖는 동굴,오른쪽으로 이동하다가 6시 방향 내려가기 → 흉물스러운 설인 처치 → 체크포인트로 빙하 호수 돌아가기
p3_3,빙하 호수,11시 방향 이동해서 라카르 처치하고 크리아 봉우리로 이동
p3_5,크리아 봉우리, 11시 방향 장로 매덕스 보상받고 아로새겨진 심곡 입장
p3_6,아로새겨진 심곡,폭풍선혈 처치 후 쿠아식 금고실 입장
p3_7,쿠아식 금고실,거점에서 마을로 복귀
p3_town,풀숲,힐다와 대화하고 보상 받고 쿠아식 금고실로 이동
p3_7,쿠아식 금고실,젤리나 와 졸린 처치 후 도리아니 대화하고 마을로 귀환 (선택: 작은 영혼 핵 획득하고 금고실 파밍)

p3_town,풀숲,두건쓴 자와 대화하고 바스티리로 이동하기 클릭
p2_town,카리 장터,아살라 와 자르카 대화하고 1시 방향 카리 교차로로 나가기
p2_1,카리 교차로,2시 방향에 있는 아크티 와 아눈드르 처치하고 마을 복귀
p2_town,카리 장터,리수와 대화하고 보상 받은 후 1시 방향으로 나가서 카리 교차로로 이동
p2_1,카리 교차로, 10시 방향 갈라이 문으로 입장
p2_5,갈라이 문, 거점 활성화하고 카리 교차로로 다시 나가기
p2_1,카리 교차로,7시 방향 카탈의 웅덩이로 이동
p2_2,카탈의 웅덩이,셀 카리 성역 입장 (6시 방향 내려가면서 왼쪽 벽 따라서 이동)
p2_3,셀 카리 성역,코브라 군주 엘자라 처치 (11시) → 아살라 대화 → 마을
p2_town,카리 장터,마을 거점에서 갈라이문으로 이동
p2_5,갈라이 문,보르나스 처치 후 키마로 이동
p2_6,키마,1시 방향 끝에서 자도 소환하고 키마 저수지로 이동
p2_7,키마 저수지,아즈마디 처치 후 대바리야 클릭하고 자도와 대화하고 마을로 이동
p2_town,카리 장터,두건 쓴 자와 대화하고 오검으로 이동하기 클릭
p1_town,피난처,렌리 대화 후 6시 방향 그을린 농지로 이동

