id,area_name,quest
1_1_1,황혼의 해안,"힐록 처치 후 라이온아이 초소 입장"
1_1_TOWN,라이온아이 초소,"해안 지대로 입장"
1_1_2,해안 지대,"갯벌로 입장"
1_1_3,갯벌,"상형문자 3개 얻고 물에 잠긴 길로 이동"
1_1_4_1,물에 잠긴 길,"웨이 타고 해안 지대 입장"
1_1_2,해안 지대,"물결 섬 입장"
1_1_2A,물결 섬,"우박갈퀴 처치 후 강종 후 물에 잠긴 길 입장"
1_1_4_1,물에 잠긴 길,"바위턱 입장 가는 도중 다리에 포탈 사용 후 바위 턱 입장"
1_1_5,바위 턱,"고개 입장"
1_1_6,고개,"수용소 하층 입장"
1_1_7_1,수용소 하층,"웨이타고 라이온아이 초소에서 생성 했던 포탈 타고 물에 잠긴 길 입장"
1_1_4_1,물에 잠긴 길,"물에 잠김 심연 입장"
1_1_4_0,물에 잠김 심연,"심연의 주인 처치 후 강종, 수용소 하층 입장"
1_1_7_1,수용소 하층,"전직퀘스트 후 수용소 상층 입장"
1_1_7_2,수용소 상층,"(약제사의 금고) 간부의 숙소 입장 후 브루투스 처치 후 강종, **도약강타** 죄수의 문 입장"
1_1_8,죄수의 문,"배들의 묘지 입장"
1_1_9,배들의 묘지,"배들의 묘지 동굴 입구 앞에 포탈 후 1시 방향 진노의 암굴 입장"
1_1_11_1,진노의 암굴,"웨이 찍고 라이온아이 초소 이동 후 생성 했던 포탈 타고 배들의 묘지 동굴 입장"
1_1_9A,배들의 묘지 동굴,"동굴 마지막에 올플레임 찾고 출구로 나가면 배들의 묘지 도착"
1_1_9,배들의 묘지,"페어그레이브즈 처치 후 강종, 진노의 암굴 입장"
1_1_11_1,진노의 암굴,"분노의 암굴 입장"
1_1_11_2,분노의 암굴,"머베일 처치 후 남쪽 숲 입장"
1_2_1,남쪽 숲,"숲 야영지 이동"
1_2_TOWN,숲 야영지,"버려진 경작지 이동(오른쪽 방향)"
1_2_2,버려진 경작지,"갈림길 입장, 돌 바닥 길 따라가기"
1_2_3,갈림길,"웨이 찍고 11시방향 죄악의 방 1층 입장"
1_2_6_1,죄악의 방 1층,"죄악의 방 2층 입장(웨이 방향 통로로 나가면 2층 입구)"
1_2_6_2,죄악의 방 2층,"전직퀘스트 후 피델리타스 처치하고 사악한 젬 획득 후 강종, 갈림길 입장"
1_2_3,갈림길,"5시 방향 몰락한 성소 유적 입장"
1_2_15,몰락한 성소 유적,"바닥 길 따라서 지하실 1층 입장"
1_2_5_1,지하실 1층,"전직퀘스트 진행 후 지하실 2층 입장"
1_2_5_2,지하실 2층,"황금의 손 획득 후 강종, 마을 왼쪽 강변길 입장"
1_2_7,강변길,"웨이 찍고 길 따라서 서쪽 숲 이동"
1_2_9,서쪽 숲,"1시 또는 9시 방향의 거미의 방 입장"
1_2_10,거미의 방,"[16렙에 전령 스킬 착용 추천] 직공을 처치 후 말리가로의 가시 획득, 강종"
1_2_3,갈림길,"1시방향 부서진 다리 입장"
1_2_4,부서진 다리,"길 따라 이동해서 크레이틴 처치(돕기-이속 8%) 후 강종, 강변길 웨이로 이동"
1_2_7,강변길,"9시 방향 습지대로 이동"
1_2_12,습지대,"오크 처치 or 돕기(최대 생명력 +40) 후 웨이 찍고 서쪽 숲 이동"
1_2_9,서쪽 숲,"알리라 돕기/처치 후 검은 근위대 처치 (액트 1 베스텔 보상받기)"
1_2_12,습지대,"바알 유적 입장"
1_2_11,바알 유적,"북쪽 숲 입장"
1_2_8,북쪽 숲,"11시 방향 암굴 입장, 공포의 잡목림 보여도 무시하고 달리기"
1_2_14_2,암굴,"고대 피라미드 입장"
1_2_14_3,고대 피라미드,"피라미드 최상층 까지 입장 후 바알 신령 처치, 사안 시내 입장"
1_3_1,사안 시내,"클라리사 구출 후 대화 하고 사안 야영지 입장"
1_3_TOWN,사안 야영지,"도착 후 1시 빈민가 입장"
1_3_2,빈민가,"하수도 앞에 포탈 설치 후 화장터 입장"
1_3_3_1,화장터,"전직퀘스트 진행 후 파이어티 처치, 톨먼의 팔찌 획득 후 몹에게 죽기"
1_3_TOWN,사안 야영지,"보상받고 정비, 클라리사에게 하수도 열쇠 수령하고 포탈 이동"
1_3_2,빈민가,"하수도 입장"
1_3_10_1,하수도,"웨이 찍고 흉상 3개 찾은 뒤 장터 입장"
1_3_5,장터,"웨이 찍고 지하 묘지 입장"
1_3_6,지하 묘지,"전직퀘스트 후 강종, 장터 입장"
