id,area_name,quest
g1_1,The Riverbank,Kill The Bloated Miller (Starting boss - use skill point after kill)
g1_1,The Riverbank,Enter Clearfell Encampment
g1_town,Clearfell Encampment,Talk to Renly 보상: Skill Gem
g1_town,Clearfell Encampment,Enter Clearfell
g1_2,Clearfell,"Optional: Complete Devourer Arena in Mud Burrow for Skill + Support Gem (After arena, portal out, talk to Renly, waypoint back to Clearfell) [선택] Provides skill gem and support gem"
g1_2,Clearfell,Kill Beira of the Rotten Pack (Grants Cold Resistance bonus)
g1_2,Clearfell,Enter The Grelwood
g1_4,The Grelwood,Activate Waypoint
g1_4,The Grelwood,Summon Una near waypoint (Important NPC for quest progression)
g1_4,The Grelwood,Go to The Grim Tangle for waypoint (Diamond-shaped zone - find waypoint for orientation)
g1_6,The Grim Tangle,Activate Waypoint
g1_6,The Grim Tangle,Optional: Complete Brambleghast Arena or visit Hut for Witch support + flasks [선택] Brambleghast arena often near Red Vale entrance
g1_6,The Grim Tangle,Enter The Red Vale (Often located near Brambleghast arena)
g1_5,The Red Vale,Activate 3 Obelisks of Rust (Collect 3 quest runes from obelisks)
g1_5,The Red Vale,"Kill The Rust King 보상: Runed Girdle, Runed Guard, Runed Skull Cap"
g1_5,The Red Vale,Portal to Clearfell Encampment
g1_town,Clearfell Encampment,Talk to Renly
g1_town,Clearfell Encampment,Waypoint to The Grelwood
g1_4,The Grelwood,Activate 3 Runic Seals
g1_4,The Grelwood,Portal to Clearfell Encampment
g1_town,Clearfell Encampment,Talk to Una
g1_town,Clearfell Encampment,Waypoint to The Grim Tangle
g1_6,The Grim Tangle,Optional: Complete Rotten Druid Arena for support gem [선택] Additional support gem
g1_6,The Grim Tangle,Enter Cemetery of the Eternals
g1_7,Cemetery of the Eternals,Talk to Lachlann
g1_7,Cemetery of the Eternals,Optional: Find Ring in Ancient Ruin at zone edge [선택] Ancient Ruin located at edge of zone
g1_7,Cemetery of the Eternals,Enter Tomb of the Consort (Located opposite of waypoint)
g1_9,Tomb of the Consort,Optional: Find Knight support gem in Haunted Treasure [선택] Knight support in haunted treasure checkpoint
g1_9,Tomb of the Consort,"Kill Asinia, the Praetor's Consort 보상: Asinia's Memorial Key Piece"
g1_9,Tomb of the Consort,Return to Cemetery of the Eternals
g1_7,Cemetery of the Eternals,Optional: Find Ring in Ancient Ruin at zone edge [선택] Ancient Ruin located at edge of zone
g1_7,Cemetery of the Eternals,Enter Mausoleum of the Praetor
g1_8,Mausoleum of the Praetor,"Kill Draven, the Eternal Praetor 보상: Draven's Memorial Key Piece"
g1_8,Mausoleum of the Praetor,Return to Cemetery of the Eternals
g1_7,Cemetery of the Eternals,Talk to Lachlann
g1_7,Cemetery of the Eternals,"Kill Lachlann of Endless Lament (When gate opens, respawn via ESC menu) 보상: Count Lachlann's Ring"
g1_7,Cemetery of the Eternals,Enter Hunting Grounds
g1_11,Hunting Grounds,Talk to Delwyn
g1_11,Hunting Grounds,Kill The Crowbell (Follow edge of zone to find Crowbell) 보상: 2 Skill Points
g1_11,Hunting Grounds,Optional: Complete Dryadic Ritual or Ritual Altar for support/skill gems [선택] Dryadic Ritual or Ritual Altar rewards
g1_11,Hunting Grounds,Follow edge to Freythorn
g1_12,Freythorn,"Complete 3 small and 1 large ritual (If you find large ritual early, check swirls pointing to missing ones)"
g1_12,Freythorn,Kill The King in the Mists 보상: 30 Spirit bonus
g1_12,Freythorn,Talk to Finn
g1_12,Freythorn,Portal to Clearfell Encampment
g1_town,Clearfell Encampment,Talk to Finn [선택] [LEAGUE START] League-start only 보상: Elemental Resistance Charm (League Start Only)
g1_town,Clearfell Encampment,Waypoint to Ogham Farmlands
g1_13_1,Ogham Farmlands,Activate Waypoint
g1_13_1,Ogham Farmlands,Find Hut and collect Una's Lute (Roads can be blocked - walk around if needed. Hut is straight along road.)
g1_13_1,Ogham Farmlands,Optional: Find and clear Crop Circle for skill gem [선택] Crop Circle checkpoint on map
g1_13_1,Ogham Farmlands,Follow road to Ogham Village
g1_13_2,Ogham Village,Activate Waypoint
g1_13_2,Ogham Village,Portal to Clearfell Encampment
g1_town,Clearfell Encampment,Talk to Una - Turn in Hooded One quest
g1_town,Clearfell Encampment,Talk to Una - Receive Book of Specialization 보상: Book of Specialization (Ascendancy)
g1_town,Clearfell Encampment,Waypoint to Ogham Village
g1_13_2,Ogham Village,Find Workshop and collect Smithing Tools (Workshop also has Artificer NPC and optional rune) [선택] [LEAGUE START] First character only - unlocks salvage bench 보상: Salvage Bench unlock (League Start Only)
g1_13_2,Ogham Village,Kill The Executioner (Located at end of zone)
g1_13_2,Ogham Village,Use Lever and talk to Leitis
g1_13_2,Ogham Village,Enter The Manor Ramparts
g1_14,The Manor Ramparts,Activate Waypoint
g1_14,The Manor Ramparts,Optional: Find Hanged Man support gem along outer edge [선택] Support gem along outer edge
g1_14,The Manor Ramparts,Portal to Clearfell Encampment
g1_town,Clearfell Encampment,Talk to NPCs 보상: 2 Skill Points
g1_town,Clearfell Encampment,Waypoint to The Manor Ramparts
g1_14,The Manor Ramparts,Follow inner edge to Ogham Manor
g1_15,Ogham Manor,"Floor 1: Kill Candlemass, the Living Rite (Find hole, check surroundings to progress) 보상: Life bonus"
