# act_guide_1.csv 와 동일: id=지역ID, area_name=지역명
# 구분자 | 권장 — sub_quest/reward에 쉼표(,) 자유
id|area_name|title|sub_quest|reward|order
g1_2|클리어펠|[추천] 캠프 상자|캠프 상자 클릭|1레벨 스킬젬|0
g1_2|클리어펠|[선택] 진흙 토굴|진흙 토굴에서 보스 처치|미가공 보조젬|1
g1_2|클리어펠|리그 콘텐츠|리그 콘텐츠|진화/확장의 오브|2

g1_4|그렐우드|[선택] 아리아그네의 오두막|오두막에 사는 마녀를 처치하세요|미가공 보조 젬|0
g1_4|그렐우드|가시나무 망령|가시나무망령 처치|2레벨 스킬젬|1
g1_4|그렐우드|리그 콘텐츠|추천: 하위 철 룬|하위 수호 룬|2

g1_5|붉은 계곡|리그 콘텐츠|추천: 보조 젬|2렙 스킬/보조 젬|0

g1_6|으스스한 덩굴|썩은 드루이드|썩은 드루이드를 찾아 처치하세요|미가공 보조젬|0
g1_6|으스스한 덩굴|리그 콘텐츠|스킬 / 보조 젬|3렙 스킬 젬|1
g1_7|영원한 자의 공동묘지|리그 콘텐츠|하위 왕성/사막, 대장장이의 숫돌|선택1|0

g1_8|집정관의 능묘|리그 콘텐츠|추천: 하위 쥬얼러 오브|제왕의 오브|0
g1_9|배우자의 무덤|리그 콘텐츠|하위 정신/육신/환영|숙련공의 오브|0

g1_11|사냥터|[필수] 까마귀 종|소 시체와 발자국 따라가서 까마귀 종 처치|스킬 포인트 2|0
g1_11|사냥터|리그 콘텐츠|하위 수호 / 정신, 숙련공의 오브|엑잘티드 오브|1
g1_13_2|오검 마을|[필수] 렌리의 도구|렌리의 도구 회수|분해 작업대 해금|0
g1_13_2|오검 마을|리그 콘텐츠|하위 돌, 영감, 진화의 오브|룬 합금|1

g1_12|프레이쏜|의식 찾는 팁|의식 완료할 때마다 메뚜기 가는 방향 따라가세요|없음|0
g1_12|프레이쏜|리그 콘텐츠|하위 왕성 / 사막, 대장장이의 숫돌|1레벨 보조젬|1
g1_13_1|오검 농지|리그 콘텐츠|스킬/보조 젬|선택 1|0
g1_14|저택 성벽|리그 콘텐츠|리그 콘텐츠|5레벨 스킬젬|0

g1_15|오검 저택|양초 덩어리|긴 통로 지나서 양초 덩어리 찾기|생명력+20|1
g1_15|오검 저택|리그 콘텐츠|하위 왕성 / 사막, 대장장이의 숫돌|연금술의 오브|0

g2_1|바스티리 외곽|리그 콘텐츠|5레벨 스킬 / 보조 젬|5레벨 정신력 젬|0
g2_1|바스티리 외곽|시체 찾기|체크포인트를 찾으세요|2레벨 보조 젬|1

g2_2|배반자의 통로|힌트|갈래길에서 갇힘의 법령 보일 때 벽에 부적이 붙어있는 길은 발바라, 반대길로 가면 할라니 관문|없음|0
g2_2|배반자의 통로|리그 콘텐츠|추천: 엑잘티드 오브|4개 중 택 1|1
g2_3|할라니 관문|리그 콘텐츠|스킬 / 보조 젬|세공사의 프리즘|0
g2_4_1|케스|[필수] 카발라 혈족 유물|카발라 혈족 유물 획득 (랜덤 드롭)|거신의 계곡에서 사용|0
g2_4_1|케스|리그 콘텐츠|맵이 너무 넓어서 못 찾음|세공사의 오브|1
g2_4_1|케스|룬 석 찾기|패로우와 룬석을 찾으세요|세공사의 오브|2
g2_4_2|잃어버린 도시|리그 콘텐츠|숙련공의 오브, 왕성 / 투지 / 숙달 룬|4개 중 택 1|0
g2_4_3|묻힌 성소|리그 콘텐츠|선택지 8개|8개 중 택1|0
g2_5_1|마스토돈 불모지|리그 콘텐츠|추천: 카오스 오브|하위 쥬얼러 오브|0
g2_5_2|뼈 구덩이|[필수] 태양 혈족 유물|태양 혈족 유물 획득 (하이애나, 켄타우로스 드롭)|거신의 계곡에서 사용|0
g2_5_2|뼈 구덩이|[추천] 룬 석 찾기|룬 석을 찾으세요. (액트 후에 진행해도 됨)|리그 필수 콘텐츠|1

g2_6|거신의 계곡|호신부 보상|거점 찾고 주변에 카발라, 태양 혈족 유물 넣기|추천-호신부 충전 30% 증가|0
g2_6|거신의 계곡|길찾기 팁|거대한 거신 머리모양 바위 뒤쪽 방향에 퀘스트 목표 있음|없음|1
g2_6|거신의 계곡|리그 콘텐츠|무기와 방어구 퀄리티 화폐 3종|3개 중 택 1|2
g2_7|거신 석굴|리그 콘텐츠|대장장이의 숫돌, 왕성 / 사막 룬|2레벨 보조 젬|0
g2_8|데샤르|룬 석 찾기|룬 석 찾고 패로우와 대화|-|0
g2_8|데샤르|리그 콘텐츠|방어구 장인의 고철, 숙달 / 빙하 룬|3개 중 택 1|1

g2_9_2|데샤르의 첨탑|가루칸의 성소|가루칸의 성소 찾기|번개 저항+10% |0
g2_9_2|데샤르의 첨탑|보스 보상|토르 굴 처치|8레벨 스킬젬|1
g2_9_2|데샤르의 첨탑|리그 콘텐츠|룬형태 조합 8종류|택 1|2
g2_10_2|모둔 광산|리그 콘텐츠|돌 / 육신 / *철 룬|엑잘티드 오브|0

