# act_guide_1.csv 와 동일: id=지역ID, area_name=지역명
# 구분자 | 권장 — sub_quest/reward에 쉼표(,) 자유
id|area_name|title|sub_quest|reward|order
g1_11|사냥터|[필수] 까마귀 종|소 시체와 발자국 따라가서 까마귀 종 처치|스킬 포인트 2|0
g1_15|오검 저택|양초 덩어리|긴 통로 지나서 양초 덩어리 찾기|생명력+20|0
g2_1|바스티리 외곽|리그 콘텐츠|5레벨 스킬 / 보조 젬|5레벨 정신력 젬|0
g2_2|배반자의 통로|힌트|갈래길에서 갇힘의 법령 보일 때 벽에 부적이 붙어있는 길은 발바라, 반대길로 가면 할라니 관문|없음|0
g2_4_1|케스|[필수] 카발라 혈족 유물|카발라 혈족 유물 획득 (랜덤 드롭)|거신의 계곡에서 사용|0
g2_5_2|뼈 구덩이|[필수] 태양 혈족 유물|태양 혈족 유물 획득 (하이애나, 켄타우로스 드롭)|거신의 계곡에서 사용|0
g2_6|거신의 계곡|호신부 보상|거점 찾고 주변에 카발라, 태양 혈족 유물 넣기|추천-호신부 충전 30% 증가|0
g2_6|거신의 계곡|길찾기 팁|거대한 거신 머리모양 바위 뒤쪽 방향에 퀘스트 목표 있음|없음|1
g2_9_2|데샤르의 첨탑|가루칸의 성소|가루칸의 성소 찾기|번개 저항+10% |0

g3_2_1|들끓는 불모지|곤경에 처한 야영지|야영지에서 NPC에게 길을 물어보세요|지도에 다른 지역 입구 표시|0

g3_2_2|마틀란 수로|리그 콘텐츠|리그 콘텐츠|10레벨 정신력 젬|0

g3_3|밀림 유적|은빛주먹|맵 중앙 은빛주먹 처치하기|패시브 포인트 2개|0

g3_4|독액 지하실|리그 콘텐츠|수호하는 룬 5종 중 택 1|9레벨 스킬 젬|0

g3_6_1|지콰니의 기계실|잔류하는 검은턱|검은턱을 찾아 처치하세요|화염저항 +10%|0

g3_8|물에 잠긴 도시|길찾기 팁|만약 오물의 정점 먼저 발견하면 입장해서 거점 활성화하고 되돌아오세요|없음|0

g4_3_1|와카파누 섬|[필수]상어 지느러미|상어 처치하고 응가카누 카이마나 전달|필수 보상|0

g4_4_1|히네코라의 눈|[필수] 나발리의 휴식처|고요한 전당 찾고 나발리와 대화|최대 마나 +5%|0

p2_6|키마|아켈리의 기둥|일곱개의 버프 중 1개 선택하기|영구 버프 1개 획득|0

p1_1|그을린 농지|검은 숲 입구|7시 방향 이동해서 어둠을 통과하는 길 찾기|검은 숲 입구 발견|0
p1_1|그을린 농지|이졸데와 헬드라|이졸데와 헬드라 처치 (주로 검은 숲 입구에서 7시 방향으로 이동)|패시브 포인트 2개|1
